Server	Sets 	Games 	Points 	
Rafael Nadal  	0‑0	0‑0	0‑0	1st serve wide, fault (long). 2nd serve to body; backhand return inside-out (shallow) (net cord); backhand slice down the line; backhand down the middle; backhand crosscourt; forehand down the middle; forehand inside-out; forehand down the middle; forehand down the middle; forehand down the middle; backhand crosscourt; forehand crosscourt, forced error. (11-shot rally)
Rafael Nadal  	0‑0	0‑0	15‑0	1st serve wide, fault (long). 2nd serve wide; backhand return down the middle (deep); backhand down the middle; forehand down the middle (long), unforced error.
Rafael Nadal  	0‑0	0‑0	30‑0	1st serve down the T; backhand slice return, forced error.
Rafael Nadal  	0‑0	0‑0	40‑0	1st serve down the T; forehand return crosscourt (very deep); backhand crosscourt; forehand down the middle; backhand down the middle; backhand inside-out; backhand crosscourt; forehand crosscourt (wide), unforced error. (7-shot rally)
 				
Roger Federer  	0‑0	0‑1	0‑0	1st serve wide; backhand return down the middle, forced error.
Roger Federer  	0‑0	0‑1	15‑0	1st serve wide, fault (net). 2nd serve down the T; backhand return inside-out (very deep); backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand down the middle; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand crosscourt, forced error. (16-shot rally)
Roger Federer  	0‑0	0‑1	15‑15	1st serve wide, fault (wide). 2nd serve to body; backhand return, forced error.
Roger Federer  	0‑0	0‑1	30‑15	1st serve wide, fault (long). 2nd serve to body; backhand return down the middle (deep); forehand down the middle; backhand down the middle; backhand inside-out; backhand down the middle; forehand inside-out, winner. (7-shot rally)
Roger Federer  	0‑0	0‑1	40‑15	1st serve wide, fault (wide and long). 2nd serve to body; backhand return down the middle (shallow); backhand down the middle; forehand inside-out; forehand crosscourt (net), unforced error. (4-shot rally)
Roger Federer  	0‑0	0‑1	40‑30	1st serve wide; forehand return crosscourt (shallow); forehand approach shot inside-in; backhand lob, forced error.
 				
Rafael Nadal  	0‑0	1‑1	0‑0	1st serve down the T; backhand return down the middle (shallow); backhand crosscourt; forehand down the line, winner. (4-shot rally)
Rafael Nadal  	0‑0	1‑1	0‑15	1st serve wide; backhand return, forced error.
Rafael Nadal  	0‑0	1‑1	15‑15	1st serve to body, fault (net). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand crosscourt (wide), unforced error.
Rafael Nadal  	0‑0	1‑1	30‑15	1st serve to body, fault (net). 2nd serve down the T, fault (net), double fault.
Rafael Nadal  	0‑0	1‑1	30‑30	1st serve down the T, fault (net). 2nd serve down the T; backhand return down the middle (very deep); backhand inside-out; backhand crosscourt; forehand crosscourt (net cord), winner. (5-shot rally)
Rafael Nadal  	0‑0	1‑1	40‑30	1st serve wide; backhand return down the middle, forced error.
 				
Roger Federer  	0‑0	1‑2	0‑0	1st serve wide, fault (net). 2nd serve wide; backhand return crosscourt, forced error.
Roger Federer  	0‑0	1‑2	15‑0	1st serve wide, fault (long). 2nd serve wide; forehand return crosscourt (deep); forehand inside-in; backhand crosscourt; forehand down the line; forehand chip/slice crosscourt; backhand down the line (long), unforced error. (6-shot rally)
Roger Federer  	0‑0	1‑2	15‑15	1st serve wide; backhand slice return down the middle (very deep); forehand approach shot crosscourt; backhand down the middle; backhand volley crosscourt; forehand down the middle; backhand volley inside-out, winner. (7-shot rally)
Roger Federer  	0‑0	1‑2	30‑15	1st serve down the T; backhand return crosscourt (shallow); forehand down the line, winner.
Roger Federer  	0‑0	1‑2	40‑15	1st serve down the T; forehand return crosscourt (shallow); backhand crosscourt; forehand crosscourt; backhand down the line; backhand slice, forced error. (5-shot rally)
 				
Rafael Nadal  	0‑0	2‑2	0‑0	1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand approach shot crosscourt; forehand down the line; forehand volley, forced error. (9-shot rally)
Rafael Nadal  	0‑0	2‑2	15‑0	1st serve wide; backhand return down the middle (deep); backhand crosscourt; forehand chip/slice, forced error.
Rafael Nadal  	0‑0	2‑2	30‑0	1st serve wide; forehand return crosscourt (shallow); backhand approach shot down the line; backhand, forced error.
Rafael Nadal  	0‑0	2‑2	40‑0	1st serve to body; forehand return, forced error.
 				
Roger Federer  	0‑0	2‑3	0‑0	1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand inside-out; forehand crosscourt; forehand down the middle; backhand crosscourt (long), unforced error. (7-shot rally)
Roger Federer  	0‑0	2‑3	15‑0	1st serve wide, fault (net). 2nd serve down the T; backhand return down the middle (shallow); forehand inside-out, winner.
Roger Federer  	0‑0	2‑3	30‑0	1st serve wide, ace.
Roger Federer  	0‑0	2‑3	40‑0	1st serve wide; forehand return crosscourt (deep); forehand inside-out; forehand, forced error.
 				
Rafael Nadal  	0‑0	3‑3	0‑0	1st serve down the T, fault (net). 2nd serve to body; backhand return approach shot inside-out (very deep); backhand slice down the middle; backhand volley crosscourt, winner. (4-shot rally)
Rafael Nadal  	0‑0	3‑3	0‑15	1st serve wide, fault (wide). 2nd serve wide; backhand return crosscourt, forced error.
Rafael Nadal  	0‑0	3‑3	15‑15	1st serve to body; forehand return crosscourt (deep); forehand inside-out; forehand crosscourt; backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice down the middle; forehand inside-out; forehand down the middle; backhand down the middle; backhand down the middle; forehand crosscourt; backhand down the line; backhand slice down the line, forced error. (14-shot rally)
Rafael Nadal  	0‑0	3‑3	15‑30	1st serve wide; backhand return down the line (very deep); backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand chip/slice crosscourt; forehand inside-out; forehand down the middle; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand swinging volley crosscourt, winner. (14-shot rally)
Rafael Nadal  	0‑0	3‑3	15‑40	1st serve wide; forehand return crosscourt (very deep); backhand crosscourt; forehand crosscourt; backhand slice down the line; backhand down the middle; backhand crosscourt (wide), unforced error. (6-shot rally)
 				
Roger Federer  	0‑0	4‑3	0‑0	1st serve down the T; forehand return, forced error.
Roger Federer  	0‑0	4‑3	15‑0	1st serve down the T; backhand lob return down the middle (deep); smash crosscourt, winner.
Roger Federer  	0‑0	4‑3	30‑0	1st serve down the T; forehand return inside-out (shallow); forehand approach shot down the line, winner.
Roger Federer  	0‑0	4‑3	40‑0	1st serve down the T, ace.
 				
Rafael Nadal  	0‑0	3‑5	0‑0	1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the line (net), unforced error. (8-shot rally)
Rafael Nadal  	0‑0	3‑5	0‑15	1st serve wide; backhand slice return crosscourt (shallow); forehand approach shot crosscourt, winner.
Rafael Nadal  	0‑0	3‑5	15‑15	1st serve down the T, fault (long). 2nd serve wide, ace.
Rafael Nadal  	0‑0	3‑5	30‑15	1st serve down the T, fault (long). 2nd serve wide; backhand return down the line, forced error.
Rafael Nadal  	0‑0	3‑5	40‑15	1st serve down the T, fault (wide). 2nd serve to body; backhand return inside-out (shallow); backhand crosscourt (wide), unforced error.
Rafael Nadal  	0‑0	3‑5	40‑30	1st serve wide; backhand return down the middle (deep); forehand crosscourt, winner.
 				
Roger Federer  	0‑0	5‑4	0‑0	1st serve down the T; forehand return crosscourt (shallow); forehand at net inside-in; backhand crosscourt, winner. (4-shot rally)
Roger Federer  	0‑0	5‑4	0‑15	1st serve wide, ace.
Roger Federer  	0‑0	5‑4	15‑15	1st serve wide; backhand return, forced error.
Roger Federer  	0‑0	5‑4	30‑15	1st serve wide, fault (net). 2nd serve down the T; backhand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand crosscourt; forehand down the middle, forced error. (5-shot rally)
Roger Federer  	0‑0	5‑4	40‑15	1st serve wide, ace.
 				
Rafael Nadal  	0‑1	0‑0	0‑0	1st serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand approach shot down the middle; backhand down the middle, forced error. (4-shot rally)
Rafael Nadal  	0‑1	0‑0	0‑15	1st serve to body; backhand slice return down the middle (very deep); forehand crosscourt; backhand slice crosscourt; forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt, winner. (7-shot rally)
Rafael Nadal  	0‑1	0‑0	15‑15	1st serve to body; forehand return crosscourt (shallow); backhand crosscourt; forehand down the line (wide), unforced error.
Rafael Nadal  	0‑1	0‑0	30‑15	1st serve wide, fault (wide and long). 2nd serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice down the line; backhand down the middle; forehand inside-out (net), unforced error. (9-shot rally)
Rafael Nadal  	0‑1	0‑0	40‑15	1st serve down the T, fault (net). 2nd serve wide, ace.
 				
Roger Federer  	1‑0	0‑1	0‑0	1st serve wide, fault (net). 2nd serve wide, fault (net), double fault.
Roger Federer  	1‑0	0‑1	0‑15	1st serve down the T, fault (long). 2nd serve down the T; forehand return crosscourt (deep); forehand inside-in; backhand down the middle; forehand down the middle; backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the middle; backhand crosscourt; forehand crosscourt (net), unforced error. (10-shot rally)
Roger Federer  	1‑0	0‑1	0‑30	1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out; forehand crosscourt, forced error.
Roger Federer  	1‑0	0‑1	15‑30	1st serve wide, fault (net). 2nd serve down the T; forehand return down the middle (deep); forehand inside-out (net cord), winner.
Roger Federer  	1‑0	0‑1	30‑30	1st serve down the T; forehand return down the middle (shallow); forehand at net inside-out; forehand down the line, winner. (4-shot rally)
Roger Federer  	1‑0	0‑1	30‑40	1st serve down the T; backhand slice return down the middle (deep); forehand swinging volley inside-out; forehand, forced error.
Roger Federer  	1‑0	0‑1	40‑40	1st serve down the T; forehand return inside-out (very deep); forehand down the line; forehand crosscourt; forehand inside-out; forehand approach shot down the line; forehand chip/slice crosscourt; backhand volley down the line; backhand crosscourt, forced error. (8-shot rally)
Roger Federer  	1‑0	0‑1	40‑AD	1st serve wide, fault (long). 2nd serve down the T; forehand return crosscourt (deep); backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand slice crosscourt (net), unforced error. (6-shot rally)
 				
Rafael Nadal  	0‑1	2‑0	0‑0	1st serve down the T, fault (wide and long). 2nd serve down the T; forehand return, forced error.
Rafael Nadal  	0‑1	2‑0	15‑0	1st serve wide; backhand return down the middle (very deep); backhand down the middle; forehand down the middle; forehand inside-out, winner. (5-shot rally)
Rafael Nadal  	0‑1	2‑0	30‑0	1st serve down the T, fault (wide). 2nd serve wide; forehand return down the middle (very deep); forehand down the middle (net), unforced error.
Rafael Nadal  	0‑1	2‑0	30‑15	1st serve to body; forehand return down the middle (deep); forehand crosscourt (net), unforced error.
Rafael Nadal  	0‑1	2‑0	30‑30	1st serve down the T, fault (long). 2nd serve down the T; backhand return inside-out (deep); backhand crosscourt (long), unforced error.
Rafael Nadal  	0‑1	2‑0	30‑40	1st serve wide; backhand return down the line (very deep); backhand crosscourt; forehand crosscourt; backhand down the middle; forehand down the middle; backhand crosscourt; forehand down the middle (long), unforced error. (7-shot rally)
Rafael Nadal  	0‑1	2‑0	40‑40	1st serve down the T; backhand return inside-out (deep); forehand inside-in; backhand down the middle; forehand crosscourt; forehand inside-out (long), unforced error. (5-shot rally)
Rafael Nadal  	0‑1	2‑0	AD‑40	1st serve wide, fault (wide). 2nd serve wide; backhand return crosscourt (very deep); forehand crosscourt, forced error.
Rafael Nadal  	0‑1	2‑0	40‑40	1st serve wide; forehand return crosscourt (very deep); forehand down the middle; backhand approach shot inside-out; backhand crosscourt; forehand volley down the line; forehand lob down the middle; smash crosscourt, winner. (8-shot rally)
Rafael Nadal  	0‑1	2‑0	40‑AD	1st serve down the T, fault (long). 2nd serve wide; backhand return down the line (very deep); backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand inside-out; forehand chip/slice crosscourt; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand down the middle; backhand down the middle; backhand crosscourt; forehand down the line, forced error. (15-shot rally)
Rafael Nadal  	0‑1	2‑0	40‑40	1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the line (long), unforced error. (5-shot rally)
Rafael Nadal  	0‑1	2‑0	AD‑40	1st serve wide; backhand return down the line, forced error.
 				
Roger Federer  	1‑0	0‑3	0‑0	1st serve wide; backhand return crosscourt (shallow); forehand down the line (net), unforced error.
Roger Federer  	1‑0	0‑3	0‑15	1st serve down the T; backhand slice return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt (wide), unforced error. (4-shot rally)
Roger Federer  	1‑0	0‑3	0‑30	1st serve wide; backhand return down the line (very deep), winner.
Roger Federer  	1‑0	0‑3	0‑40	1st serve down the T; backhand return inside-out (very deep); backhand crosscourt; forehand crosscourt (long), unforced error.
Roger Federer  	1‑0	0‑3	15‑40	1st serve wide; backhand return down the middle (shallow) (net cord); forehand approach shot inside-out; forehand, forced error.
Roger Federer  	1‑0	0‑3	30‑40	1st serve wide; forehand return crosscourt (deep); forehand inside-out (wide), unforced error.
 				
Rafael Nadal  	0‑1	4‑0	0‑0	1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand approach shot crosscourt, winner. (8-shot rally)
Rafael Nadal  	0‑1	4‑0	0‑15	1st serve to body; backhand return down the line (deep); backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand down the middle; backhand down the middle; forehand inside-out; forehand, forced error. (10-shot rally)
Rafael Nadal  	0‑1	4‑0	0‑30	1st serve down the T; backhand return down the middle (shallow); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the line (net), unforced error. (5-shot rally)
Rafael Nadal  	0‑1	4‑0	15‑30	1st serve wide; backhand return, forced error.
Rafael Nadal  	0‑1	4‑0	30‑30	1st serve down the T, fault (wide and long). 2nd serve down the T; backhand return crosscourt (very deep); forehand crosscourt; forehand inside-out, winner. (4-shot rally)
Rafael Nadal  	0‑1	4‑0	30‑40	1st serve down the T; forehand return down the middle (very deep); forehand down the middle; forehand crosscourt; backhand down the line; backhand slice crosscourt; forehand down the line; forehand chip/slice crosscourt, winner. (8-shot rally)
 				
Roger Federer  	1‑0	1‑4	0‑0	1st serve down the T, fault (wide). 2nd serve down the T; forehand return down the middle (shallow); forehand at net crosscourt; backhand crosscourt, forced error.
Roger Federer  	1‑0	1‑4	15‑0	1st serve down the T, fault (wide). 2nd serve wide; forehand return crosscourt (very deep); backhand down the middle; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand slice crosscourt; forehand down the line; forehand lob down the line; forehand crosscourt; backhand crosscourt; forehand down the line (net), unforced error. (17-shot rally)
Roger Federer  	1‑0	1‑4	30‑0	1st serve wide; backhand return down the middle (very deep); forehand down the middle; backhand crosscourt; forehand crosscourt; backhand down the line (long), unforced error. (5-shot rally)
Roger Federer  	1‑0	1‑4	40‑0	1st serve down the T, fault (net). 2nd serve wide; forehand return down the line (very deep), winner.
Roger Federer  	1‑0	1‑4	40‑15	1st serve wide, fault (wide). 2nd serve down the T, fault (long), double fault.
Roger Federer  	1‑0	1‑4	40‑30	1st serve wide; forehand return crosscourt (deep); backhand crosscourt; forehand down the middle; forehand inside-out, winner. (5-shot rally)
 				
Rafael Nadal  	0‑1	4‑2	0‑0	1st serve down the T; backhand return inside-out, forced error.
Rafael Nadal  	0‑1	4‑2	15‑0	1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt (net), unforced error. (5-shot rally)
Rafael Nadal  	0‑1	4‑2	30‑0	1st serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand inside-out; backhand down the middle; backhand down the middle; backhand down the middle; forehand (shank), unforced error. (7-shot rally)
Rafael Nadal  	0‑1	4‑2	40‑0	1st serve to body; backhand return, forced error.
 				
Roger Federer  	1‑0	2‑5	0‑0	1st serve down the T; forehand return inside-out (very deep); forehand chip/slice crosscourt, forced error.
Roger Federer  	1‑0	2‑5	0‑15	1st serve down the T; backhand return, forced error.
Roger Federer  	1‑0	2‑5	15‑15	1st serve down the T, fault (long). 2nd serve wide; backhand return, forced error.
Roger Federer  	1‑0	2‑5	30‑15	1st serve wide; forehand return crosscourt (shallow); backhand at net down the line, winner.
Roger Federer  	1‑0	2‑5	40‑15	1st serve down the T; forehand return crosscourt (shallow); forehand inside-out, winner.
 				
Rafael Nadal  	0‑1	5‑3	0‑0	1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt (net), unforced error.
Rafael Nadal  	0‑1	5‑3	15‑0	1st serve wide; backhand return down the middle (very deep); forehand inside-out, winner.
Rafael Nadal  	0‑1	5‑3	30‑0	1st serve down the T; backhand return inside-out (very deep); forehand inside-out; forehand crosscourt; backhand down the middle; backhand down the middle (net), unforced error. (5-shot rally)
Rafael Nadal  	0‑1	5‑3	40‑0	1st serve wide; backhand slice return crosscourt (very deep); forehand down the middle; forehand crosscourt (long), unforced error.
 				
Roger Federer  	1‑1	0‑0	0‑0	1st serve wide; backhand return, forced error.
Roger Federer  	1‑1	0‑0	15‑0	1st serve down the T; backhand lob return, forced error.
Roger Federer  	1‑1	0‑0	30‑0	1st serve down the T, ace.
Roger Federer  	1‑1	0‑0	40‑0	1st serve wide, fault (long). 2nd serve down the T; forehand return crosscourt (deep); backhand crosscourt; forehand down the line, winner. (4-shot rally)
Roger Federer  	1‑1	0‑0	40‑15	1st serve wide, fault (wide). 2nd serve wide; backhand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle (long), unforced error. (10-shot rally)
Roger Federer  	1‑1	0‑0	40‑30	1st serve wide, fault (wide and long). 2nd serve down the T; forehand return down the middle (shallow); backhand volley inside-out, forced error.
Roger Federer  	1‑1	0‑0	40‑40	1st serve wide; backhand return down the line (deep); forehand inside-out (net), unforced error.
Roger Federer  	1‑1	0‑0	40‑AD	1st serve wide, ace.
Roger Federer  	1‑1	0‑0	40‑40	1st serve wide; backhand return down the middle (deep); forehand inside-out (net), unforced error.
Roger Federer  	1‑1	0‑0	40‑AD	1st serve wide, ace.
Roger Federer  	1‑1	0‑0	40‑40	1st serve down the T; forehand return down the middle (very deep); forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand; backhand; backhand volley down the line, forced error. (12-shot rally)
Roger Federer  	1‑1	0‑0	40‑AD	1st serve wide, ace.
Roger Federer  	1‑1	0‑0	40‑40	1st serve down the T, fault (long). 2nd serve wide; backhand return down the middle (very deep); forehand down the middle; forehand crosscourt; backhand down the line; backhand down the middle (long), unforced error. (5-shot rally)
Roger Federer  	1‑1	0‑0	AD‑40	1st serve wide, fault (wide and long). 2nd serve wide; forehand return crosscourt (very deep); forehand inside-in; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt, forced error. (9-shot rally)
 				
Rafael Nadal  	1‑1	0‑1	0‑0	1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt, winner. (6-shot rally)
Rafael Nadal  	1‑1	0‑1	0‑15	1st serve wide; backhand return crosscourt (very deep); forehand down the line; forehand chip/slice crosscourt; forehand inside-in; backhand crosscourt; forehand down the middle; forehand crosscourt, winner. (8-shot rally)
Rafael Nadal  	1‑1	0‑1	0‑30	1st serve down the T; backhand return crosscourt (deep); forehand down the line; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt (net), unforced error. (7-shot rally)
Rafael Nadal  	1‑1	0‑1	15‑30	1st serve wide; backhand return, forced error.
Rafael Nadal  	1‑1	0‑1	30‑30	1st serve down the T, fault (wide). 2nd serve to body; backhand return inside-out (deep); backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the line; backhand down the line; backhand slice down the middle; forehand crosscourt; backhand crosscourt; forehand down the line, winner. (12-shot rally)
Rafael Nadal  	1‑1	0‑1	30‑40	1st serve wide, fault (wide). 2nd serve to body; forehand return down the middle (very deep); forehand inside-out (net), unforced error.
 				
Roger Federer  	1‑1	2‑0	0‑0	1st serve wide; backhand return, forced error.
Roger Federer  	1‑1	2‑0	15‑0	1st serve down the T; backhand return down the middle (shallow); forehand volley crosscourt, winner.
Roger Federer  	1‑1	2‑0	30‑0	1st serve wide, ace.
Roger Federer  	1‑1	2‑0	40‑0	1st serve wide, ace.
 				
Rafael Nadal  	1‑1	0‑3	0‑0	1st serve down the T, fault (net). 2nd serve down the T; forehand return crosscourt (shallow); backhand crosscourt (net), unforced error.
Rafael Nadal  	1‑1	0‑3	0‑15	1st serve wide; backhand return down the middle, forced error.
Rafael Nadal  	1‑1	0‑3	15‑15	1st serve wide; forehand return crosscourt (deep); forehand down the middle; backhand inside-out; backhand down the line; backhand crosscourt; forehand crosscourt; backhand crosscourt, winner. (8-shot rally)
Rafael Nadal  	1‑1	0‑3	15‑30	1st serve wide, fault (long). 2nd serve to body; backhand return down the middle (deep); backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand inside-out; forehand crosscourt; forehand swinging volley inside-out, winner. (12-shot rally)
Rafael Nadal  	1‑1	0‑3	15‑40	1st serve down the T; backhand return inside-out (shallow); forehand inside-out; forehand down the middle, forced error.
Rafael Nadal  	1‑1	0‑3	30‑40	1st serve wide; backhand return crosscourt, forced error.
Rafael Nadal  	1‑1	0‑3	40‑40	1st serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt, winner. (6-shot rally)
Rafael Nadal  	1‑1	0‑3	40‑AD	1st serve down the T, ace.
Rafael Nadal  	1‑1	0‑3	40‑40	1st serve down the T, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand down the middle (long), unforced error.
Rafael Nadal  	1‑1	0‑3	AD‑40	1st serve wide; backhand return down the middle (very deep); backhand crosscourt; forehand down the line; forehand crosscourt, forced error. (4-shot rally)
Rafael Nadal  	1‑1	0‑3	40‑40	1st serve wide; forehand return crosscourt, forced error.
Rafael Nadal  	1‑1	0‑3	AD‑40	1st serve wide; backhand return crosscourt (deep), winner.
Rafael Nadal  	1‑1	0‑3	40‑40	1st serve down the T, fault (net). 2nd serve wide; forehand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand crosscourt, winner. (15-shot rally)
Rafael Nadal  	1‑1	0‑3	AD‑40	1st serve to body; backhand return crosscourt (shallow); forehand at net down the line, winner.
 				
Roger Federer  	1‑1	3‑1	0‑0	1st serve down the T; forehand return, forced error.
Roger Federer  	1‑1	3‑1	15‑0	1st serve wide; forehand return down the middle (very deep); forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt (wide), unforced error. (5-shot rally)
Roger Federer  	1‑1	3‑1	30‑0	1st serve down the T; forehand return, forced error.
