RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	482	71 (15%)	29 (6%)	19 (4%)	23 (5%)	90 (19%)	242 (50%)	240 (50%)
Forehand side	266	47 (18%)	20 (8%)	11 (4%)	16 (6%)	44 (17%)	137 (52%)	129 (48%)
Backhand side	216	24 (11%)	9 (4%)	8 (4%)	7 (3%)	46 (21%)	105 (49%)	111 (51%)
FH GS (top/flt/slc)	264	46 (17%)	20 (8%)	10 (4%)	16 (6%)	44 (17%)	136 (52%)	128 (48%)
BH GS (top/flt/slc)	211	21 (10%)	7 (3%)	7 (3%)	7 (3%)	44 (21%)	102 (48%)	109 (52%)
Baseline shots	479	68 (14%)	27 (6%)	18 (4%)	23 (5%)	90 (19%)	239 (50%)	240 (50%)
Net shots	3	3 (100%)	2 (67%)	1 (33%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
Groundstrokes (top/flt)	453	66 (15%)	26 (6%)	17 (4%)	23 (5%)	81 (18%)	231 (51%)	222 (49%)
Dropshots	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Lobs	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (67%)	0 (0%)	3 (100%)
Volleys	3	3 (100%)	2 (67%)	1 (33%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
Forehands (top/flt)	260	45 (17%)	19 (7%)	10 (4%)	16 (6%)	43 (17%)	134 (52%)	126 (48%)
Backhands (top/flt)	193	21 (11%)	7 (4%)	7 (4%)	7 (4%)	38 (20%)	97 (50%)	96 (50%)
FH slice/chip	4	1 (25%)	1 (25%)	0 (0%)	0 (0%)	1 (25%)	2 (50%)	2 (50%)
BH slice/chip	18	0 (0%)	0 (0%)	0 (0%)	0 (0%)	6 (33%)	5 (28%)	13 (72%)
FH drop shot	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH lob	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)	2 (100%)
BH volley	3	3 (100%)	2 (67%)	1 (33%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)