RF OUTCOMES	Pts	PtsW----%	Returnable	RtbleW--%	inPlay--%	inPlayW-%	Wnr-----%	AvgRally
Total	151	59 (39%)	114 (75%)	56 (49%)	114 (100%)	56 (49%)	2 (2%)	4.6
vs 1st Svs	110	41 (37%)	82 (75%)	41 (50%)	82 (100%)	41 (50%)	2 (2%)	4.4
vs 2nd Svs	38	15 (39%)	32 (84%)	15 (47%)	32 (100%)	15 (47%)	0 (0%)	5.3
Svc Box	17	8 (47%)	17 (100%)	8 (47%)	17 (100%)	8 (47%)	0 (0%)	4.5
Beh Svc Ln	97	48 (49%)	97 (100%)	48 (49%)	97 (100%)	48 (49%)	2 (2%)	6.0
Back qtr	54	31 (57%)	54 (100%)	31 (57%)	54 (100%)	31 (57%)	1 (2%)	5.6
Forehand side	51	23 (45%)	40 (78%)	23 (57%)	40 (100%)	23 (57%)	0 (0%)	5.1
Backhand side	91	33 (36%)	74 (81%)	33 (45%)	74 (100%)	33 (45%)	2 (3%)	4.7
Flat/Topspin	133	53 (40%)	106 (80%)	53 (50%)	106 (100%)	53 (50%)	2 (2%)	4.9
Slice/Chip	9	3 (33%)	8 (89%)	3 (38%)	8 (100%)	3 (38%)	0 (0%)	4.2
Deuce Court	75	31 (41%)	60 (80%)	31 (52%)	60 (100%)	31 (52%)	0 (0%)	5.1
Ad Court	73	25 (34%)	54 (74%)	25 (46%)	54 (100%)	25 (46%)	2 (4%)	4.2
Wide serves	56	15 (27%)	39 (70%)	15 (38%)	39 (100%)	15 (38%)	2 (5%)	4.5
Body serves	47	24 (51%)	38 (81%)	24 (63%)	38 (100%)	24 (63%)	0 (0%)	5.1
T serves	45	17 (38%)	37 (82%)	17 (46%)	37 (100%)	17 (46%)	0 (0%)	4.5
Deuce-Wide	14	5 (36%)	9 (64%)	5 (56%)	9 (100%)	5 (56%)	0 (0%)	6.2
Ad-Wide	42	10 (24%)	30 (71%)	10 (33%)	30 (100%)	10 (33%)	2 (7%)	3.9
Deuce-Body	26	13 (50%)	21 (81%)	13 (62%)	21 (100%)	13 (62%)	0 (0%)	5.4
Ad-Body	21	11 (52%)	17 (81%)	11 (65%)	17 (100%)	11 (65%)	0 (0%)	4.7
Deuce-T	35	13 (37%)	30 (86%)	13 (43%)	30 (100%)	13 (43%)	0 (0%)	4.5
Ad-T	10	4 (40%)	7 (70%)	4 (57%)	7 (100%)	4 (57%)	0 (0%)	4.6